grt,batch_index
649.679700,301
688.825803,302
730.785114,303
606.241672,304
623.524748,305
607.440173,306
741.710512,307
640.738186,308
650.000157,309
663.226000,310
687.133934,311
721.604176,312
719.832746,313
642.644645,314
664.098819,315
642.417396,316
668.704679,317
635.986566,318
638.180919,319
669.141111,320
656.093824,321
659.119962,322
668.913811,323
687.586947,324
677.602124,325
638.989704,326
636.988239,327
667.712237,328
645.291319,329
674.741149,330
698.615738,331
656.785404,332
612.897228,333
675.405646,334
669.107455,335
708.949255,336
697.888865,337
654.787161,338
727.118128,339
642.195157,340
722.901782,341
671.566851,342
736.654950,343
662.607591,344
661.303224,345
650.734148,346
670.401633,347
683.151211,348
696.415377,349
649.232955,350
629.052436,351
645.461335,352
655.738174,353
713.749847,354
646.343331,355
662.477979,356
657.521785,357
732.040237,358
668.970883,359
676.075787,360
675.451227,361
670.286681,362
642.198237,363
682.907392,364
638.696406,365
652.478680,366
672.110356,367
623.458662,368
659.305621,369
651.574694,370
624.990147,371
692.827082,372
682.411979,373
638.695313,374
657.025238,375
707.097818,376
617.550274,377
732.388433,378
658.937174,379
679.808917,380
688.152291,381
676.815420,382
645.526259,383
670.547423,384
709.127241,385
635.082148,386
655.266164,387
689.827518,388
653.637080,389
680.463584,390
677.775486,391
672.520817,392
656.406519,393
711.892938,394
679.189468,395
653.179456,396
679.655259,397
742.200111,398
699.297115,399
704.341240,400
695.387199,401
599.613002,402
671.883904,403
641.515111,404
653.194793,405
686.187262,406
675.072465,407
656.967229,408
626.167724,409
636.346196,410
630.344447,411
665.992361,412
623.354246,413
666.819663,414
719.158155,415
736.795518,416
739.339806,417
665.088189,418
679.071714,419
703.837725,420
721.717993,421
666.429393,422
689.014498,423
695.853221,424
617.472540,425
660.247350,426
654.152541,427
631.460204,428
684.392826,429
701.468928,430
641.351594,431
646.065939,432
629.727460,433
706.727837,434
657.246351,435
628.644327,436
627.794025,437
719.425824,438
666.638980,439
665.965008,440
672.747294,441
628.049706,442
687.746061,443
677.836773,444
663.505461,445
657.600728,446
634.367892,447
661.782345,448
694.665197,449
671.367003,450
695.630416,451
701.158123,452
663.688303,453
642.316027,454
625.487178,455
665.715612,456
657.692526,457
636.453831,458
663.599804,459
684.175919,460
656.345424,461
715.111655,462
611.679698,463
661.627612,464
737.112085,465
662.584178,466
684.068220,467
727.284537,468
720.468963,469
654.969496,470
632.679168,471
680.536718,472
740.532104,473
660.628061,474
704.108684,475
695.878406,476
674.940568,477
829.191989,478
674.327423,479
729.673101,480
759.453913,481
640.422063,482
613.739801,483
702.740433,484
630.381387,485
671.251477,486
755.860570,487
709.593180,488
675.160505,489
628.370074,490
711.885587,491
685.385935,492
710.982414,493
831.199740,494
691.765271,495
704.056547,496
645.268136,497
717.044571,498
704.144360,499
753.452099,500
692.045455,501
629.079538,502
669.589046,503
671.087517,504
650.543907,505
683.515304,506
674.099414,507
657.467971,508
689.462586,509
670.159109,510
667.702370,511
705.063188,512
639.642519,513
675.333513,514
727.956488,515
677.754809,516
691.832829,517
661.991385,518
706.477830,519
669.940312,520
657.836148,521
705.636782,522
669.391366,523
