ploss,period
0.046535,835
0.015944,836
0.045045,837
0.014113,838
0.016616,839
0.027532,840
0.021662,841
0.047666,842
0.007056,843
0.017553,844
0.001004,845
0.027736,846
0.026640,847
0.017686,848
0.022000,849
0.022568,850
0.000500,851
0.040695,852
0.008969,853
0.025050,854
0.013575,855
0.033702,856
0.032754,857
0.032419,858
0.062437,859
0.023535,860
0.025113,861
0.025896,862
0.023810,863
0.033814,864
0.012048,865
0.053287,866
0.043125,867
0.026826,868
0.039059,869
0.019559,870
0.024342,871
0.023104,872
0.028246,873
0.010448,874
0.033584,875
0.009032,876
0.008955,877
0.013493,878
0.030815,879
0.046201,880
0.011535,881
0.011263,882
0.033000,883
0.025025,884
0.006058,885
0.023418,886
0.058204,887
0.026408,888
0.027201,889
0.029487,890
0.038614,891
0.056317,892
0.035943,893
0.024876,894
0.056670,895
0.022489,896
0.014595,897
0.033300,898
0.015075,899
0.012407,900
0.022111,901
0.004032,902
0.008871,903
0.022131,904
0.018978,905
0.018414,906
0.024655,907
0.011443,908
0.011593,909
0.037924,910
0.006458,911
0.019067,912
0.004525,913
0.060379,914
0.027404,915
0.027778,916
0.073945,917
0.027014,918
0.022444,919
0.002503,920
0.025411,921
0.014056,922
0.011564,923
0.047405,924
0.029851,925
0.047000,926
0.013979,927
0.020510,928
0.029985,929
0.023761,930
0.023798,931
0.016958,932
0.016641,933
0.073478,934
0.024354,935
0.027451,936
0.028212,937
0.035211,938
0.024000,939
0.043544,940
0.033333,941
0.026131,942
0.015570,943
0.033066,944
0.034363,945
0.022682,946
0.013111,947
0.013072,948
0.011006,949
0.025000,950
0.032291,951
0.028656,952
0.010537,953
0.020182,954
0.052294,955
0.021053,956
0.038076,957
0.036145,958
0.034345,959
0.012097,960
0.046177,961
0.034653,962
0.034796,963
0.027528,964
0.027377,965
0.022200,966
0.060277,967
0.027418,968
0.031611,969
0.019588,970
0.008534,971
0.017335,972
0.007014,973
0.018584,974
0.021923,975
0.025667,976
0.039520,977
0.016377,978
0.008155,979
0.049377,980
0.044783,981
0.038655,982
0.012315,983
0.018163,984
0.039024,985
0.021266,986
0.050296,987
0.023590,988
0.032755,989
0.022324,990
0.013493,991
0.016941,992
0.033702,993
0.022931,994
0.029058,995
0.014435,996
0.045113,997
0.033133,998
0.035803,999
0.024233,1000
0.024078,1001
0.024888,1002
0.002960,1003
0.013205,1004
0.022966,1005
0.024198,1006
0.013958,1007
0.013986,1008
0.016244,1009
0.017884,1010
0.028629,1011
0.019153,1012
0.019871,1013
0.013868,1014
0.029441,1015
0.018830,1016
0.022739,1017
0.019010,1018
0.000996,1019
0.016475,1020
0.032435,1021
0.022256,1022
0.020151,1023
0.024281,1024
0.017430,1025
0.036831,1026
0.026264,1027
0.024488,1028
0.010995,1029
0.034034,1030
0.009448,1031
0.024000,1032
0.014056,1033
0.017937,1034
0.033588,1035
0.035288,1036
0.032565,1037
0.026408,1038
0.027282,1039
0.000000,1040
0.027080,1041
0.029547,1042
0.037736,1043
0.035697,1044
0.017094,1045
0.022222,1046
0.047478,1047
0.020070,1048
0.005038,1049
0.036507,1050
0.015617,1051
0.020937,1052
0.021739,1053
0.030467,1054
0.030949,1055
0.022288,1056
0.015984,1057
0.009068,1058
0.047141,1059
0.032803,1060
0.001006,1061
0.025745,1062
0.027846,1063
0.029949,1064
0.014414,1065
0.024463,1066
0.016385,1067
0.038114,1068
0.046701,1069
0.009486,1070
0.050100,1071
0.020207,1072
0.035264,1073
0.030769,1074
0.024306,1075
0.000000,1076
0.010091,1077
0.026606,1078
0.038268,1079
0.008996,1080
0.018281,1081
0.019891,1082
0.015601,1083
0.020247,1084
0.018772,1085
0.034604,1086
0.037402,1087
0.014156,1088
0.000000,1089
0.020131,1090
0.022670,1091
0.008466,1092
0.032387,1093
0.040816,1094
0.002535,1095
0.049147,1096
0.034311,1097
0.020469,1098
0.056231,1099
0.065402,1100
0.055913,1101
0.024598,1102
0.023302,1103
0.041268,1104
0.027163,1105
0.044522,1106
0.018317,1107
0.035183,1108
0.004002,1109
0.015649,1110
0.052866,1111
0.018237,1112
0.009881,1113
0.016178,1114
0.017857,1115
0.017650,1116
0.033915,1117
0.051793,1118
0.022739,1119
0.041916,1120
0.020182,1121
0.031754,1122
0.028513,1123
0.024330,1124
0.010929,1125
0.024354,1126
0.029487,1127
0.025063,1128
0.020593,1129
0.048290,1130
0.029383,1131
0.005043,1132
0.018482,1133
0.029500,1134
0.009921,1135
0.016658,1136
0.061417,1137
0.012006,1138
0.011604,1139
0.024294,1140
0.041624,1141
0.042984,1142
0.016550,1143
0.012494,1144
0.031770,1145
0.057454,1146
0.025361,1147
0.058045,1148
0.023313,1149
0.029574,1150
0.043457,1151
0.020398,1152
0.001493,1153
0.032000,1154
0.014170,1155
0.014414,1156
0.019647,1157
0.038593,1158
0.024169,1159
0.021436,1160
0.042649,1161
0.033216,1162
0.004487,1163
0.021761,1164
0.025948,1165
0.011905,1166
0.034431,1167
0.020603,1168
0.024988,1169
0.014035,1170
0.001483,1171
0.030117,1172
0.044652,1173
0.029471,1174
0.036272,1175
0.019307,1176
0.007187,1177
0.028162,1178
0.022920,1179
0.023713,1180
0.004926,1181
0.017439,1182
0.015121,1183
0.034569,1184
0.028288,1185
0.017964,1186
0.016040,1187
0.043978,1188
0.027231,1189
0.027081,1190
0.021382,1191
0.019364,1192
0.026329,1193
0.015881,1194
0.020958,1195
0.033898,1196
0.036537,1197
0.006507,1198
0.019980,1199
0.028197,1200
0.000000,1201
0.013453,1202
0.035201,1203
0.025278,1204
0.050395,1205
0.027792,1206
0.017017,1207
0.070352,1208
0.032274,1209
0.012942,1210
0.021074,1211
0.015649,1212
0.033663,1213
0.021684,1214
0.014493,1215
0.025845,1216
0.022077,1217
0.005979,1218
0.027459,1219
0.020101,1220
0.042757,1221
0.051320,1222
0.029044,1223
0.004431,1224
0.031297,1225
0.013493,1226
0.021705,1227
0.020049,1228
0.052020,1229
0.027095,1230
0.026719,1231
0.020582,1232
0.008470,1233
0.034154,1234
0.038366,1235
0.018537,1236
0.031250,1237
0.018371,1238
0.039540,1239
0.018299,1240
0.007545,1241
0.026210,1242
0.021308,1243
0.037792,1244
0.010147,1245
0.037575,1246
0.012469,1247
0.027336,1248
0.017973,1249
0.006481,1250
