grt,period
681.231754,226
678.493389,227
673.122484,228
670.160598,229
684.418157,230
692.694756,231
675.431677,232
660.234478,233
668.043017,234
674.044925,235
653.409051,236
653.452143,237
644.446074,238
688.659458,239
670.434156,240
643.220188,241
659.242576,242
657.044405,243
672.173693,244
627.378997,245
657.269074,246
661.473543,247
656.880648,248
640.801339,249
695.271194,250
670.538579,251
659.807359,252
646.916551,253
666.706239,254
708.917805,255
673.281090,256
689.434721,257
668.210835,258
660.277339,259
647.661697,260
664.641628,261
693.675787,262
770.812777,263
749.398413,264
680.650173,265
698.521147,266
671.872975,267
689.614784,268
677.871357,269
679.221639,270
644.710030,271
668.764415,272
686.106873,273
660.810254,274
684.368435,275
707.363596,276
692.272566,277
693.796036,278
654.910932,279
659.640592,280
691.128605,281
671.059832,282
679.939435,283
681.748910,284
675.973862,285
659.092926,286
636.096776,287
633.639854,288
683.098597,289
656.545256,290
681.366684,291
637.794315,292
670.492174,293
660.029759,294
671.975745,295
659.829994,296
663.017196,297
706.390995,298
665.337369,299
675.562929,300
680.516336,301
682.820406,302
658.237589,303
668.796539,304
685.168913,305
661.303290,306
686.851003,307
673.689038,308
658.380072,309
676.835740,310
697.815483,311
705.963660,312
672.892506,313
657.376262,314
653.970213,315
666.649671,316
674.198630,317
698.159878,318
667.238993,319
667.123863,320
648.753465,321
668.056422,322
680.264744,323
665.321726,324
722.282189,325
669.897437,326
663.181354,327
674.904805,328
646.850388,329
648.042601,330
703.556121,331
655.106991,332
654.345955,333
669.573722,334
717.507226,335
684.496268,336
688.393132,337
660.773591,338
678.237159,339
659.811910,340
679.911523,341
675.661015,342
670.290370,343
685.068776,344
662.892190,345
659.168350,346
684.021403,347
670.926763,348
660.364186,349
653.746523,350
690.870387,351
666.743638,352
666.301478,353
681.900053,354
716.702875,355
703.519556,356
716.566226,357
673.381118,358
670.414375,359
652.828819,360
774.330172,361
691.081380,362
684.410050,363
683.373310,364
650.680801,365
674.798927,366
692.752555,367
671.260397,368
679.534548,369
662.570321,370
649.564429,371
653.743915,372
669.200525,373
692.086582,374
671.340861,375
667.032680,376
663.696408,377
684.061314,378
659.010293,379
671.367240,380
684.772163,381
656.210511,382
664.064202,383
678.698734,384
661.798714,385
675.216631,386
669.383234,387
659.107417,388
672.725607,389
654.914469,390
666.255575,391
699.142005,392
647.970962,393
721.900338,394
699.872208,395
673.853322,396
676.338589,397
664.015770,398
699.402651,399
673.350031,400
697.365050,401
708.227794,402
682.526962,403
647.841219,404
684.629789,405
678.764598,406
678.012896,407
676.223565,408
700.028437,409
659.898831,410
697.738730,411
652.717395,412
683.441450,413
651.582678,414
662.061454,415
662.960839,416
691.542410,417
694.370661,418
700.437688,419
697.426468,420
666.873478,421
649.149374,422
667.431634,423
666.273036,424
671.556617,425
647.689690,426
653.379901,427
684.618209,428
665.811158,429
683.236974,430
672.503961,431
693.669649,432
681.525006,433
674.266563,434
661.707116,435
690.095270,436
650.171639,437
668.652642,438
674.694079,439
650.349334,440
680.031129,441
679.439893,442
666.296601,443
677.342181,444
652.315213,445
688.005896,446
650.752816,447
664.456511,448
663.588445,449
671.949601,450
667.530050,451
661.200790,452
651.739592,453
649.290224,454
691.240672,455
700.122799,456
684.135461,457
706.128699,458
644.445612,459
670.908100,460
670.356474,461
651.197804,462
695.916402,463
642.263419,464
671.484549,465
672.477307,466
730.308458,467
678.639602,468
689.372743,469
668.873018,470
681.726412,471
667.854903,472
676.910728,473
695.761490,474
674.996302,475
699.274237,476
651.371839,477
677.833834,478
683.030445,479
699.322717,480
668.929248,481
664.204516,482
661.171217,483
677.361739,484
693.402410,485
664.773324,486
669.606747,487
669.188838,488
661.473134,489
670.724890,490
670.987071,491
696.683162,492
656.230237,493
665.152217,494
652.873944,495
681.929296,496
693.170189,497
697.078388,498
643.085630,499
685.860325,500
682.996194,501
662.799471,502
667.911972,503
660.718110,504
660.628395,505
667.158962,506
639.570162,507
668.522229,508
674.845477,509
681.819260,510
697.883438,511
662.972204,512
