ploss,batch
0.050433,225
0.046775,226
0.057876,227
0.054618,228
0.039798,229
0.029738,230
0.043951,231
0.035786,232
0.059086,233
0.050898,234
0.084046,235
0.044865,236
0.042063,237
0.066567,238
0.071393,239
0.042479,240
0.048355,241
0.022099,242
0.040675,243
0.059656,244
0.042446,245
0.038198,246
0.051026,247
0.041498,248
0.045545,249
0.079137,250
0.084190,251
0.037587,252
0.056642,253
0.048290,254
0.031142,255
0.025265,256
0.035253,257
0.039899,258
0.057778,259
0.027207,260
0.069404,261
0.020000,262
0.064044,263
0.035839,264
0.041854,265
0.036464,266
0.055860,267
0.054754,268
0.060309,269
0.057674,270
0.055612,271
0.058679,272
0.025164,273
0.078226,274
0.048670,275
0.054217,276
0.065704,277
0.012048,278
0.031421,279
0.045660,280
0.063809,281
0.064225,282
0.082624,283
0.037568,284
0.044252,285
0.071606,286
0.048829,287
0.051741,288
0.029574,289
0.046334,290
0.063965,291
0.029412,292
0.032322,293
0.037463,294
0.042521,295
0.089402,296
0.039540,297
0.034397,298
0.043129,299
0.032577,300
0.054500,301
0.046488,302
0.030243,303
0.050330,304
0.049529,305
0.064629,306
0.037019,307
0.027523,308
0.056324,309
0.041435,310
0.020207,311
0.057419,312
0.034243,313
0.043719,314
0.041791,315
0.086650,316
0.077500,317
0.078987,318
0.026772,319
0.023773,320
0.041750,321
0.048902,322
0.037295,323
0.076382,324
0.047112,325
0.036816,326
0.057683,327
0.041916,328
0.031595,329
0.037276,330
0.062343,331
0.038110,332
0.056158,333
0.057702,334
0.059583,335
0.059500,336
0.036683,337
0.072000,338
0.043890,339
0.046983,340
0.077117,341
0.079183,342
0.043587,343
0.071607,344
0.029427,345
0.045274,346
0.061789,347
0.036813,348
0.041082,349
0.070443,350
0.040080,351
0.019182,352
0.067898,353
0.063532,354
0.082260,355
0.054850,356
0.056247,357
0.045771,358
0.056275,359
0.058912,360
0.033668,361
0.065369,362
0.025896,363
0.048509,364
0.076000,365
0.029955,366
0.044147,367
0.084550,368
0.048096,369
0.074938,370
0.037374,371
0.069104,372
0.033416,373
0.062344,374
0.044709,375
0.072573,376
0.035158,377
0.028484,378
0.066998,379
0.040988,380
0.045885,381
0.038752,382
0.043564,383
0.037745,384
0.046146,385
0.068948,386
0.048000,387
0.058325,388
0.058291,389
0.034345,390
0.057654,391
0.034010,392
0.045253,393
0.046046,394
0.036962,395
0.066962,396
0.070344,397
0.056903,398
0.040282,399
0.061000,400
0.047146,401
0.040122,402
0.043565,403
0.044191,404
0.034158,405
0.042532,406
0.046046,407
0.059207,408
0.050445,409
0.071465,410
0.027597,411
0.032322,412
0.047189,413
0.059901,414
0.032193,415
0.058157,416
0.051217,417
0.019358,418
0.040295,419
0.064179,420
0.044006,421
0.081228,422
0.033367,423
0.052374,424
0.057128,425
0.047880,426
0.065449,427
0.028204,428
0.044938,429
0.027947,430
0.058412,431
0.086543,432
0.059613,433
0.047453,434
0.058972,435
0.068228,436
0.035540,437
0.054353,438
0.047714,439
0.025013,440
0.072362,441
0.056613,442
0.047976,443
0.057385,444
0.040520,445
0.051811,446
0.046489,447
0.039275,448
0.020690,449
0.023737,450
0.037755,451
0.026647,452
0.059560,453
0.068273,454
0.038635,455
0.069756,456
0.043086,457
0.047761,458
0.034119,459
0.040238,460
0.045983,461
0.060878,462
0.045184,463
0.042479,464
0.054068,465
0.041273,466
0.038366,467
0.069791,468
0.048290,469
0.041021,470
0.035376,471
0.045206,472
0.066700,473
0.052868,474
0.043327,475
0.065856,476
0.072736,477
0.052894,478
0.042479,479
0.052209,480
0.062189,481
0.048072,482
0.056423,483
0.042394,484
0.038133,485
0.026303,486
0.074747,487
0.048878,488
0.057242,489
0.064160,490
0.052314,491
0.053801,492
0.034673,493
0.035211,494
0.060818,495
0.055224,496
0.055916,497
0.047236,498
0.041082,499
0.065379,500
0.044589,501
0.042500,502
0.055193,503
0.063328,504
0.055951,505
0.056698,506
0.032000,507
0.046983,508
0.029708,509
0.024378,510
0.061803,511
0.055028,512
0.060199,513
0.031516,514
0.063099,515
0.027411,516
0.041268,517
0.038095,518
0.090592,519
