grt,batch
651.311059,217
759.055600,218
705.407116,219
689.870603,220
702.628312,221
732.533315,222
672.301170,223
697.584047,224
683.415914,225
688.565608,226
689.408441,227
689.900330,228
687.254632,229
663.343874,230
684.966379,231
673.487907,232
708.135602,233
702.570673,234
712.459632,235
664.399103,236
679.713237,237
704.690717,238
681.464212,239
693.376777,240
693.086881,241
683.009626,242
656.085545,243
695.476429,244
690.758615,245
653.946364,246
688.486726,247
694.003933,248
684.558016,249
680.246595,250
694.391055,251
683.396800,252
721.662136,253
649.071570,254
682.111691,255
690.121656,256
673.717396,257
668.172483,258
673.867134,259
663.819983,260
683.769566,261
673.533101,262
706.075829,263
691.094978,264
699.216047,265
693.115591,266
689.492623,267
663.101505,268
708.892088,269
693.498910,270
692.747485,271
674.031093,272
687.196329,273
674.580160,274
709.542939,275
687.703362,276
691.528948,277
689.908980,278
699.073362,279
684.746795,280
666.091031,281
672.786843,282
711.337588,283
712.242312,284
698.599925,285
706.336725,286
686.916907,287
714.887432,288
688.163312,289
689.251438,290
692.058334,291
705.337792,292
709.610161,293
692.020605,294
704.552777,295
685.409202,296
699.790290,297
676.979677,298
702.350131,299
700.557028,300
693.502847,301
683.519323,302
700.918623,303
679.034595,304
706.209027,305
662.810443,306
700.090180,307
668.930753,308
692.593164,309
706.947420,310
687.830081,311
711.291213,312
706.646875,313
671.684864,314
692.801784,315
679.056429,316
728.536460,317
673.910056,318
703.459384,319
714.616180,320
688.281971,321
684.791346,322
668.889182,323
673.083471,324
698.060374,325
650.511771,326
685.225556,327
687.584027,328
705.645233,329
696.638186,330
720.368375,331
678.445308,332
720.392272,333
673.422201,334
676.977699,335
697.345454,336
694.064626,337
682.284673,338
736.254839,339
687.018493,340
692.265036,341
700.027659,342
716.270849,343
701.983403,344
713.877266,345
699.250592,346
670.326350,347
682.308534,348
705.807843,349
679.820442,350
705.657222,351
653.432015,352
710.151710,353
691.653276,354
671.232622,355
665.696834,356
702.342314,357
674.036001,358
691.696746,359
688.484762,360
667.266499,361
683.725597,362
688.955777,363
695.240795,364
