ploss,batch
0.105687,644
0.090592,645
0.114902,646
0.130716,647
0.120324,648
0.150841,649
0.126379,650
0.094094,651
0.071606,652
0.028240,653
0.153426,654
0.106275,655
0.068540,656
0.102705,657
0.136136,658
0.101661,659
0.085757,660
0.082624,661
0.127110,662
0.082505,663
0.077767,664
0.104859,665
0.121047,666
0.098000,667
0.104052,668
0.119818,669
0.106383,670
0.097707,671
0.128294,672
0.106212,673
0.083375,674
0.073000,675
0.109873,676
0.179680,677
0.107723,678
0.125312,679
0.166917,680
0.089357,681
0.100802,682
0.143143,683
0.087667,684
0.106963,685
0.109500,686
0.069617,687
0.136024,688
0.078007,689
0.106330,690
0.075226,691
0.088265,692
0.094710,693
0.102818,694
0.122295,695
0.102794,696
0.078539,697
0.084948,698
0.104093,699
0.081095,700
0.082707,701
0.062093,702
0.099651,703
0.091688,704
0.118694,705
0.137412,706
0.116291,707
0.099357,708
0.090591,709
0.128853,710
0.112494,711
0.121349,712
0.122244,713
0.093012,714
0.099149,715
0.110718,716
0.078882,717
0.102370,718
0.109677,719
0.084409,720
0.133266,721
0.086310,722
0.154732,723
0.126782,724
0.126108,725
0.091226,726
0.057500,727
0.073595,728
0.084253,729
0.086059,730
0.094905,731
0.100802,732
0.128968,733
0.126374,734
0.096517,735
0.098641,736
0.106319,737
0.100454,738
0.124199,739
0.092593,740
0.075956,741
0.096870,742
0.094330,743
0.078195,744
0.130348,745
0.141212,746
0.093220,747
0.133501,748
0.099202,749
0.097451,750
0.078947,751
0.121769,752
0.123377,753
0.099701,754
0.131526,755
0.140089,756
0.143502,757
0.103980,758
0.098286,759
0.108631,760
0.109768,761
0.099799,762
0.127692,763
0.153846,764
0.125933,765
0.115499,766
0.116220,767
0.126697,768
0.116658,769
0.122418,770
0.131540,771
0.108458,772
0.081777,773
0.109064,774
0.105263,775
0.131632,776
0.100545,777
0.103239,778
0.085945,779
0.109360,780
0.133799,781
0.107178,782
0.108543,783
0.070929,784
0.118842,785
0.099507,786
0.111500,787
0.099497,788
0.080709,789
0.079960,790
0.084704,791
0.102113,792
0.099851,793
0.124004,794
0.110999,795
0.125502,796
0.120398,797
0.063604,798
0.090819,799
0.097658,800
0.132161,801
0.099950,802
0.126300,803
0.090954,804
0.124557,805
0.096391,806
0.096582,807
0.096251,808
0.067067,809
0.134000,810
0.107479,811
0.115210,812
0.102590,813
0.081877,814
0.100351,815
0.134433,816
0.100000,817
0.093012,818
0.101879,819
0.082748,820
0.114343,821
0.111223,822
0.078117,823
0.127808,824
0.111832,825
0.091135,826
0.080357,827
0.082406,828
0.136409,829
0.111166,830
0.106244,831
0.124750,832
0.119440,833
0.105263,834
0.102832,835
0.124311,836
0.108000,837
0.132190,838
0.106521,839
0.111550,840
0.098435,841
0.085500,842
0.112662,843
0.104814,844
0.102437,845
0.101442,846
0.125977,847
0.139488,848
0.083085,849
0.125948,850
0.127533,851
0.086462,852
0.072405,853
0.095596,854
0.147739,855
0.090086,856
0.094013,857
0.137089,858
0.101695,859
0.113682,860
0.125623,861
0.117529,862
0.133974,863
0.124938,864
0.094480,865
0.101449,866
0.119899,867
0.087781,868
0.115442,869
0.125376,870
0.083043,871
0.139980,872
0.082130,873
0.117005,874
0.091184,875
0.065868,876
0.100651,877
0.077193,878
0.107677,879
0.092323,880
0.125125,881
0.138308,882
0.082123,883
0.069018,884
0.088250,885
0.118441,886
0.070070,887
0.089232,888
0.081841,889
0.127827,890
0.064064,891
0.144638,892
0.138778,893
0.080020,894
0.085064,895
0.097586,896
0.116174,897
0.066766,898
0.103916,899
0.123506,900
0.091317,901
0.074130,902
0.128244,903
0.101805,904
0.133831,905
0.129870,906
0.075509,907
0.104156,908
0.086043,909
0.153846,910
0.090054,911
0.107339,912
0.111333,913
0.154894,914
0.077001,915
0.082138,916
0.081430,917
0.081419,918
0.092941,919
0.132411,920
0.095863,921
0.112599,922
0.093623,923
0.083251,924
0.104187,925
0.107107,926
0.105525,927
0.137827,928
0.135585,929
0.076427,930
0.066169,931
0.074112,932
0.097756,933
0.118146,934
0.094953,935
0.079940,936
0.074037,937
0.122367,938
0.095405,939
0.111056,940
0.080506,941
0.105859,942
